"CARRERA,C,3","PLAN,C,2","ACTA,C,5","ORDEN,C,2","LIBRO,C,5","MATERIA,C,3","TURNO,C,1","CATEDRA,C,1","FECH_ACTA,D","PROCES,L","FECPRO,D","INSCR,N,2,0","AUSENT,N,2,0","EXAMIN,N,2,0","SOBRES,N,2,0","DISTIN,N,2,0","BUENO,N,2,0","SUFIC,N,2,0","INSUF,N,2,0","REPROB,N,2,0","NOCORR,N,2,0","RECLIB,C,5","RECACT,C,5","OBSERV,M"
822,85,01572,,    1,030,1,,05/22/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,01582,,    1,031,1,,05/22/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,02362,,    1,005,1,,05/24/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
421,86,04050,,    1,053,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
481,86,04071,,    1,029,1,,05/31/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
421,86,04240,,    1,056,,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
421,86,04250,,    1,056,,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
441,93,04290,,    1,054,,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,04410,,    1,140,2,,06/13/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,04430,,    1,028,,,12/06/1994,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,04530,,    1,150,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,04540,,    1,003,,,11/18/1993,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,04710,,    1,032,,,11/24/1993,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,04720,,    1,150,1,,05/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
826,78,04820,,    1,051,1,,06/29/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
461,86,04840,,    1,032,,,11/23/1993,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,04850,,    1,088,1,,07/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
822,85,04860,,    1,085,1,,07/03/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,04980,,    1,025,1,,07/04/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
806,86,05000,,    1,039,1,,07/04/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,05010,,    1,001,1,,07/05/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,05020,,    1,001,1,,07/05/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,05040,,    1,011,1,,07/05/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,05080,,    1,014,1,,07/05/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
841,87,05140,,    1,001,1,,07/05/1995,FALSE,,0,0,0,0,0,0,0,0,0,0,,,
